"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"40","La construcción de entornos virtuales de aprendizaje con tecnología Microsoft nos permiten la entrega de experienci… https://t.co/hbY0XXuBpq",FALSE,1,NA,2019-11-15 10:59:00,TRUE,NA,"1195295127390113792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frodas",0,FALSE,FALSE,NA,NA
"41","Buenos ahora si a dormir listo el mapa para #walc2019",FALSE,0,NA,2019-11-15 08:25:54,FALSE,NA,"1195256598513569792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rgonzalez_tec",0,FALSE,FALSE,NA,NA
"42","El map http://35.161.126.120:1880/ui/#!/1?socketid=jpafuxceURHFV10zAACn representa los puntos colectados por un subscriber a ttn. #walc2019",FALSE,0,NA,2019-11-15 08:25:32,FALSE,NA,"1195256507882971137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rgonzalez_tec",0,FALSE,FALSE,NA,NA
"43","Cuando estaba por tirar la tualla, logre entender a JSON #walc2019. El mapa http://35.161.126.120:1880/ui/#!/1?socketid=jpafuxceURHFV10zAACn",FALSE,0,NA,2019-11-15 08:24:34,FALSE,NA,"1195256262163881984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rgonzalez_tec",0,FALSE,FALSE,NA,NA
"44","RT @ISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Conoce de qué…",FALSE,0,NA,2019-11-15 06:17:03,FALSE,NA,"1195224171757940736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anteliznet",7,TRUE,FALSE,NA,NA
"45","#WALC2019 es una experiencia practica muy motivadora. Me gusta este tipo de actividades.",FALSE,1,NA,2019-11-15 01:20:10,FALSE,NA,"1195149458146807809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_eliseomarquez",0,FALSE,FALSE,NA,NA
"46","Redes comunitarias para facilitar el acceso #WALC2019",FALSE,2,NA,2019-11-15 00:54:16,FALSE,NA,"1195142941423087617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maisquick",0,FALSE,FALSE,NA,NA
"47","#WALC2019  Excelente!!",FALSE,0,NA,2019-11-14 23:50:41,FALSE,NA,"1195126941239656450",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jf_online",0,FALSE,FALSE,NA,NA
"48","Generando data para el Cloud Computing y su posterior análisis de Big Data con herramientas especializadas dentro d… https://t.co/Ui2sOJ9dE0",FALSE,4,NA,2019-11-14 23:29:25,TRUE,NA,"1195121588137541633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frodas",1,FALSE,FALSE,NA,NA
"49","Excelente WALC Guatemal. El Track de IoT brutalmente genial. #walc2019",FALSE,1,NA,2019-11-14 23:26:00,FALSE,NA,"1195120727910998016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rgonzalez_tec",0,FALSE,FALSE,NA,NA
"50","Listos para la foto de grupo de tod@s l@s participantes al evento #walc2019 en Guatemala. #ManuelRodas… https://t.co/MPEhOPt1u7",FALSE,1,NA,2019-11-14 23:25:55,TRUE,NA,"1195120707832823808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frodas",0,FALSE,FALSE,NA,NA
"51","#WALC2019 Buena experiencia",FALSE,0,NA,2019-11-14 22:58:44,FALSE,NA,"1195113867724111873",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JosueNoj1",0,FALSE,FALSE,NA,NA
"52","#WALC2019 Nuevos conocimientos en el área de la tecnología...",FALSE,0,NA,2019-11-14 22:58:37,FALSE,NA,"1195113835717439489",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Malco_Chacon",0,FALSE,FALSE,NA,NA
"53","@Parmas3 deja de dormir en el #WALC2019",FALSE,0,"Parmas3",2019-11-14 22:58:36,FALSE,"1195112034012147712","1195113832206786562","1194063583233138690","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dark_Master007",0,FALSE,FALSE,NA,NA
"54","#WALC2019 Hemos aprendido muchas cosas interesantes, Gracias<U+0001F600>",FALSE,0,NA,2019-11-14 22:58:01,FALSE,NA,"1195113684382703616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Elizabe07462119",0,FALSE,FALSE,NA,NA
"55","#WALC2019 Muy buena experiencia 
Trabajo Bien Hecho.",FALSE,0,NA,2019-11-14 22:53:42,FALSE,NA,"1195112597680467969",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dark_Master007",0,FALSE,FALSE,NA,NA
"56","Ha sido de gran aprendizaje Computación en la Nube y Big Data #WALC2019.",FALSE,0,NA,2019-11-14 22:52:40,FALSE,NA,"1195112338476720128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ozz930",0,FALSE,FALSE,NA,NA
"57","#walc2019 con fe y mucha fuerza, trabajando duramente en los talleres interesantes muy demandantes",FALSE,0,NA,2019-11-14 22:52:08,FALSE,NA,"1195112205949296640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patoruiz1105",0,FALSE,FALSE,NA,NA
"58","#WALC2019 Increible! Jaja (Esto es una prueba)",FALSE,0,NA,2019-11-14 22:52:04,FALSE,NA,"1195112190296154112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BryanDardon",0,FALSE,FALSE,NA,NA
"59","#WALC2019 De las mejores experiencias pero muy poco tiempo...",FALSE,0,NA,2019-11-14 22:51:27,FALSE,NA,"1195112034012147712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Parmas3",0,FALSE,FALSE,NA,NA
